"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @lovesBP3000: Line outside the venue

#BORNPINKinBarcelona #BLACKPINK https://t.co/lpqUiokCRM",FALSE,0,NA,2022-12-05 13:58:36,FALSE,NA,"1599765185140441088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Leo__098",13,TRUE,FALSE,NA,NA
"RT @BLACKPINK: BLACKPINK WORLD TOUR [BORN PINK] LONDON HIGHLIGHT CLIP

#BLACKPINK #블랙핑크 #BORNPINK #BLACKPINK_WORLDTOUR #BLACKPINK_BORNPINK …",FALSE,0,NA,2022-12-05 13:58:35,FALSE,NA,"1599765179432022016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","railane_davis",5556,TRUE,FALSE,NA,NA
"RT @BLACKPINK: BLACKPINK WORLD TOUR [BORN PINK] LONDON HIGHLIGHT CLIP

#BLACKPINK #블랙핑크 #BORNPINK #BLACKPINK_WORLDTOUR #BLACKPINK_BORNPINK …",FALSE,0,NA,2022-12-05 13:58:34,FALSE,NA,"1599765173291520001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zeenunewfan12",5556,TRUE,FALSE,NA,NA
"@jennie8jennie @thenreport I vote #JENNIE of #BLACKPINK     for #NETIZENSREPORT as Asian Celebrity of the year… https://t.co/BctOfgqqF3",FALSE,0,"jennie8jennie",2022-12-05 13:58:34,TRUE,"1599476041999069184","1599765173027282944","1496128868138328067","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jentamin",0,FALSE,FALSE,NA,NA
"RT @allkpop: [UCC] #BLACKPINK is the ""Most-Streamed Girl Group Globally"" on Spotify for the fourth year in a row https://t.co/iC4PgBUVro",FALSE,0,NA,2022-12-05 13:58:31,FALSE,NA,"1599765163753623553",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","e78740394",1139,TRUE,FALSE,NA,NA
"RT @BBU_BLACKPINK: Ultimate VIP #BLINKS at @BLACKPINK’s #BORNPINK World Tour Europe Pre-show party in Barcelona today!

BLACKPINK IN SPAIN…",FALSE,0,NA,2022-12-05 13:58:30,FALSE,NA,"1599765158288822272",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","aliceliris",44,TRUE,FALSE,NA,NA
"RT @BBU_BLACKPINK: Ultimate VIP #BLINKS at @BLACKPINK’s #BORNPINK World Tour Europe Pre-show party in Barcelona today!

BLACKPINK IN SPAIN…",FALSE,0,NA,2022-12-05 13:58:29,FALSE,NA,"1599765152819458048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","modtanoylanlala",44,TRUE,FALSE,NA,NA
"RT @ygent_official: #BLACKPINK WORLD TOUR [BORN PINK] LONDON HIGHLIGHT CLIP

#블랙핑크 #BORNPINK #BLACKPINK_WORLDTOUR #BLACKPINK_BORNPINK #LOND…",FALSE,0,NA,2022-12-05 13:58:26,FALSE,NA,"1599765140454326272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amanaoap",1654,TRUE,FALSE,NA,NA
"RT @BLACKPINK: BLACKPINK WORLD TOUR [BORN PINK] LONDON HIGHLIGHT CLIP

#BLACKPINK #블랙핑크 #BORNPINK #BLACKPINK_WORLDTOUR #BLACKPINK_BORNPINK …",FALSE,0,NA,2022-12-05 13:58:26,FALSE,NA,"1599765139930042369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlfFisher18",5556,TRUE,FALSE,NA,NA
"RT @jisoocloset: JISOO Instagram update 🖤
#JISOO #지수 #BLACKPINK https://t.co/7UphgApcAx",FALSE,0,NA,2022-12-05 13:58:24,FALSE,NA,"1599765132451905537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LEAH24229606",111,TRUE,FALSE,NA,NA
